iter	Passed	Remaining
144	1549	9136
145	1559	9119
146	1569	9106
147	1579	9095
148	1590	9085
149	1601	9074
150	1612	9064
151	1623	9054
152	1633	9044
153	1644	9032
154	1654	9019
155	1664	9004
156	1675	8994
157	1686	8985
158	1697	8978
159	1708	8967
160	1718	8955
161	1729	8946
162	1739	8933
163	1749	8919
164	1759	8905
165	1770	8895
166	1781	8887
167	1792	8878
168	1803	8869
169	1814	8857
170	1823	8841
171	1834	8829
172	1844	8817
173	1854	8805
174	1865	8792
175	1876	8785
176	1886	8773
177	1896	8759
178	1907	8748
179	1917	8735
180	1928	8726
181	1938	8714
182	1950	8706
183	1960	8694
184	1972	8688
185	1983	8678
186	1993	8666
187	2004	8655
188	2013	8642
189	2025	8633
190	2035	8621
191	2045	8609
192	2056	8597
193	2066	8585
194	2076	8574
195	2087	8561
196	2098	8554
197	2108	8541
198	2118	8527
199	2128	8515
200	2139	8503
201	2150	8494
202	2160	8482
203	2170	8470
204	2181	8460
205	2191	8446
206	2202	8436
207	2212	8425
208	2223	8416
209	2234	8407
210	2246	8400
211	2258	8393
212	2268	8381
213	2279	8371
214	2289	8358
215	2299	8346
216	2309	8334
217	2320	8324
218	2330	8311
219	2341	8300
220	2351	8288
221	2361	8276
222	2372	8265
223	2382	8253
224	2393	8244
225	2403	8231
226	2414	8221
227	2425	8211
228	2436	8201
229	2446	8189
230	2456	8176
231	2466	8163
232	2476	8152
233	2486	8140
234	2496	8128
235	2506	8115
236	2517	8104
237	2528	8095
238	2538	8082
239	2548	8071
240	2559	8060
241	2570	8051
242	2581	8041
243	2591	8030
244	2602	8019
245	2613	8011
246	2623	7999
247	2634	7988
248	2646	7982
249	2656	7970
250	2667	7958
251	2677	7946
252	2687	7936
253	2698	7924
254	2708	7913
255	2720	7905
256	2730	7894
257	2740	7880
258	2750	7868
259	2761	7858
260	2772	7848
261	2782	7837
262	2793	7827
263	2803	7815
264	2814	7806
265	2824	7795
266	2835	7784
267	2846	7775
268	2857	7764
269	2868	7754
270	2878	7744
271	2889	7732
272	2900	7724
273	2911	7714
274	2922	7703
275	2932	7691
276	2942	7679
277	2952	7666
278	2962	7654
279	2972	7642
280	2980	7627
281	2991	7615
282	3003	7609
283	3013	7598
284	3024	7586
285	3034	7576
286	3046	7568
287	3056	7556
288	3065	7542
289	3076	7532
290	3087	7522
291	3098	7512
292	3108	7500
293	3118	7489
294	3129	7479
295	3140	7468
296	3150	7456
297	3160	7445
298	3172	7437
299	3182	7425
300	3192	7414
301	3203	7404
302	3213	7392
303	3224	7381
304	3234	7371
305	3245	7359
306	3255	7348
307	3265	7335
308	3275	7325
309	3286	7314
310	3296	7303
311	3307	7292
312	3317	7281
313	3328	7270
314	3336	7255
315	3345	7240
316	3354	7227
317	3365	7218
318	3376	7207
319	3386	7196
320	3397	7185
321	3407	7175
322	3415	7159
323	3423	7143
324	3434	7132
325	3443	7118
326	3453	7108
327	3462	7093
328	3473	7084
329	3484	7074
330	3495	7063
331	3505	7053
332	3516	7043
333	3525	7029
334	3535	7018
335	3545	7006
336	3556	6995
337	3566	6984
338	3576	6974
339	3588	6965
340	3598	6954
341	3607	6939
342	3617	6928
343	3627	6918
344	3638	6907
345	3648	6897
346	3659	6886
347	3669	6875
348	3681	6867
349	3692	6857
350	3702	6846
351	3713	6836
352	3724	6825
353	3734	6814
354	3745	6804
355	3756	6794
356	3765	6782
357	3776	6771
358	3786	6761
359	3796	6749
360	3804	6734
361	3814	6722
362	3823	6710
363	3831	6694
364	3842	6685
365	3854	6676
366	3865	6667
367	3873	6652
368	3884	6642
369	3894	6631
370	3905	6620
371	3915	6610
372	3925	6598
373	3936	6588
374	3947	6578
375	3956	6565
376	3966	6554
377	3974	6540
378	3983	6526
379	3993	6515
380	4001	6501
381	4010	6488
382	4019	6474
383	4027	6460
384	4036	6447
385	4044	6433
386	4052	6418
387	4060	6404
388	4068	6390
389	4077	6376
390	4085	6362
391	4093	6349
392	4102	6335
393	4110	6322
394	4120	6311
395	4131	6301
396	4139	6288
397	4148	6274
398	4156	6261
399	4165	6247
400	4173	6234
401	4182	6221
402	4190	6208
403	4201	6198
404	4211	6187
405	4221	6176
406	4232	6166
407	4242	6155
408	4252	6144
409	4262	6134
